Time,T107_C_Avg,SHF_Avg,PSPWatt_UP_Avg,PIRWatt_UP_Avg,PSPWatt_DOWN_Avg,PIRWatt_DOWN_Avg
01/09 04:29:26,16.517333333333333,19.654999999999998,0.0,374.9433333333333,0.0,376.90000000000003
01/09 04:59:26,16.365666666666666,20.91566666666667,0.0,372.13666666666666,0.0,374.12666666666667
01/09 05:29:26,16.217000000000002,21.679333333333332,0.0,370.05,0.0002666666666666667,372.00333333333333
01/09 05:59:26,16.085333333333335,21.415000000000003,0.0,369.06666666666666,0.1584,370.75333333333333
01/09 06:29:26,15.977999999999998,20.843666666666664,9.090266666666666,368.6766666666667,1.9481000000000002,370.4066666666667
01/09 06:59:26,15.914333333333333,18.05666666666667,34.593333333333334,371.8566666666667,6.797466666666668,374.37
01/09 07:29:25,15.920333333333334,13.755666666666666,82.08666666666666,379.26333333333326,20.279,382.8966666666666
01/09 07:59:25,16.016666666666666,7.7654999999999985,235.77666666666667,396.64,67.55033333333333,400.95666666666676
01/09 08:29:25,16.19233333333333,2.6215333333333337,371.21000000000004,421.53333333333336,77.996,427.59666666666664
01/09 08:59:25,16.40333333333333,-1.2749333333333335,457.25666666666655,440.91666666666674,86.32999999999998,448.56333333333333
01/09 09:29:25,16.643333333333334,-4.298533333333333,542.4066666666668,455.7966666666668,92.94999999999999,462.7833333333334
01/09 09:59:25,16.884999999999998,-8.462733333333334,609.1000000000001,458.4266666666667,98.28999999999999,464.77666666666676
01/09 10:29:25,17.154999999999994,-26.93066666666667,660.4066666666665,458.3533333333333,105.14999999999999,463.7299999999999
01/09 10:59:24,17.557000000000002,-56.68433333333332,699.4833333333333,457.7666666666666,107.90666666666667,462.02666666666653
01/09 11:29:24,18.21933333333333,-65.63833333333334,711.6833333333333,457.8766666666667,108.43333333333332,461.21
01/09 11:59:24,19.157666666666668,-62.70433333333334,709.4466666666667,459.9900000000001,93.35866666666666,462.09000000000003
01/09 12:29:24,19.48,-36.896,690.7633333333332,459.72,91.39666666666666,460.71333333333325
01/09 12:59:24,19.357000000000003,-15.568999999999997,646.8033333333332,458.31,89.78233333333334,458.3866666666667
01/09 13:29:24,19.194,-8.028566666666668,625.3833333333334,459.4766666666667,74.46400000000001,458.4733333333333
01/09 13:59:24,19.138999999999996,-4.606866666666666,547.2633333333334,461.5633333333334,79.695,459.9666666666666
01/09 14:29:23,19.10600000000001,-2.3667,478.8733333333333,456.3033333333334,73.81066666666668,454.72666666666663
01/09 14:59:23,19.113333333333337,-3.5701999999999994,395.9300000000001,448.3400000000001,58.941666666666684,446.77333333333337
01/09 15:29:23,19.066,1.763666666666667,197.4,438.1733333333333,15.74666666666667,438.0166666666666
01/09 15:59:23,18.880333333333333,8.472966666666666,74.02900000000002,425.60999999999996,10.215000000000002,425.96333333333337
01/09 16:29:23,18.673000000000002,11.304666666666664,44.27766666666666,416.9066666666667,5.675733333333333,417.5666666666666
01/09 16:59:23,18.46333333333333,13.894666666666664,5.740733333333332,407.02333333333337,0.04843333333333333,408.70000000000005
01/09 17:29:22,18.24533333333334,16.266,0.0,399.50333333333333,0.0,401.65
01/09 17:59:22,18.035,17.57033333333333,0.0,393.7566666666667,0.0,396.04333333333335
01/09 18:29:22,17.83066666666667,18.967333333333332,0.0,389.3933333333333,0.0,391.7233333333333
